n,time
20, 0.000017
30, 0.000049
40, 0.000177
50, 0.000211
60, 0.000359
70, 0.000731
80, 0.001012
90, 0.001374
100, 0.001870
110, 0.002568
120, 0.003061
130, 0.003848
140, 0.004606
150, 0.005666
160, 0.006822
170, 0.008174
180, 0.009631
190, 0.011486
200, 0.013222
210, 0.015373
220, 0.017614
230, 0.020105
240, 0.022782
250, 0.025730
260, 0.028953
270, 0.032377
280, 0.036068
290, 0.040036
300, 0.044320
310, 0.048816
320, 0.053893
330, 0.058815
340, 0.064266
350, 0.070011
360, 0.076114
370, 0.082627
380, 0.089262
390, 0.096515
400, 0.104142
410, 0.112449
420, 0.120476
430, 0.129837
440, 0.138327
450, 0.147999
460, 0.157601
470, 0.168616
480, 0.179161
490, 0.190537
500, 0.202396
520, 0.229131
540, 0.255472
560, 0.288270
580, 0.318911
600, 0.349774
620, 0.385668
640, 0.424149
660, 0.467063
680, 0.513841
700, 0.555125
720, 0.604759
740, 0.650823
760, 0.702618
780, 0.759602
800, 0.819711
820, 0.883102
840, 0.956316
860, 1.009456
880, 0.940611
900, 0.956727
920, 1.021699
940, 1.090313
960, 1.165841
980, 1.241781
1000, 1.313028
1050, 1.852993
1100, 2.136124
1150, 2.427249
1200, 2.751333
1250, 2.677648
1300, 3.398638
1350, 3.887226
1400, 4.128585
1450, 3.984156
1500, 4.426901
1550, 4.878473
1600, 5.556821
1650, 5.970554
1700, 7.051857
1750, 7.796660
1800, 8.431408
1850, 9.829344
1900, 11.296899
1950, 12.578597
2000, 13.859467
2100, 19.197148
2200, 23.496562
2300, 27.721926
2400, 33.357432
2500, 37.323036
2600, 40.520843
2700, 44.853807
2800, 52.775757
2900, 58.658564
3000, 65.326332
3000, 63.558050
3200, 76.436948
3400, 82.409211
3600, 105.299080
