n,time
20, 0.000032
30, 0.000091
40, 0.000232
50, 0.000574
60, 0.000726
70, 0.000898
80, 0.001184
90, 0.001791
100, 0.002497
110, 0.003323
120, 0.004043
130, 0.005010
140, 0.006201
150, 0.007670
160, 0.009307
170, 0.011065
180, 0.013201
190, 0.015393
200, 0.017983
210, 0.020775
220, 0.023946
230, 0.027368
240, 0.031103
250, 0.035134
260, 0.039607
270, 0.044268
280, 0.049456
290, 0.054832
300, 0.060697
310, 0.066928
320, 0.073653
330, 0.080656
340, 0.088117
350, 0.095507
360, 0.104451
370, 0.113463
380, 0.122977
390, 0.132984
400, 0.143381
410, 0.154317
420, 0.165848
430, 0.176363
440, 0.186965
450, 0.200311
460, 0.217279
470, 0.231376
480, 0.246813
490, 0.262275
500, 0.278621
520, 0.313476
540, 0.349277
560, 0.368937
580, 0.433183
600, 0.479251
620, 0.527756
640, 0.526149
660, 0.634324
680, 0.697538
700, 0.758656
720, 0.825818
740, 0.888192
760, 0.958860
780, 1.047850
800, 1.102886
820, 1.011389
840, 1.083002
860, 1.127322
880, 1.257387
900, 1.334883
920, 1.422859
940, 1.518241
960, 1.615710
980, 1.721393
1000, 1.710419
1050, 2.543554
1100, 2.703606
1150, 3.211046
1200, 3.292937
1250, 3.246061
1300, 3.999495
1350, 4.452683
1400, 5.134490
1450, 5.742507
1500, 6.492396
1550, 7.232111
1600, 8.144265
1650, 9.072190
1700, 9.712764
1750, 11.257088
1800, 12.493893
1850, 14.159578
1900, 15.631970
1950, 17.138611
2000, 19.235494
2100, 21.990147
2200, 23.539822
2300, 26.973143
2400, 33.171685
2500, 36.633525
2600, 41.175992
2700, 46.974117
2800, 56.326443
2900, 59.412172
3000, 78.506288
3000, 67.195974
3200, 89.442838
3400, 95.257793
3600, 120.941240
3800, 131.978716
4000, 157.776714
4200, 174.779089
4400, 209.481632
4600, 231.732763
4800, 281.837257
5000, 302.518110
