n,time,vectorlength,platform
20,0.001425,1,nvidia
30,0.003836,1,nvidia
40,0.007099,1,nvidia
50,0.010963,1,nvidia
60,0.015691,1,nvidia
70,0.021517,1,nvidia
80,0.028024,1,nvidia
90,0.035492,1,nvidia
100,0.043807,1,nvidia
110,0.053075,1,nvidia
120,0.063198,1,nvidia
130,0.074680,1,nvidia
140,0.086425,1,nvidia
150,0.099767,1,nvidia
160,0.115766,1,nvidia
170,0.134068,1,nvidia
180,0.150559,1,nvidia
190,0.172649,1,nvidia
200,0.190324,1,nvidia
210,0.213724,1,nvidia
220,0.238684,1,nvidia
230,0.262263,1,nvidia
240,0.293326,1,nvidia
250,0.307005,1,nvidia
260,0.322498,1,nvidia
270,0.371527,1,nvidia
280,0.402972,1,nvidia
290,0.435559,1,nvidia
300,0.460541,1,nvidia
310,0.486931,1,nvidia
320,0.516761,1,nvidia
330,0.557347,1,nvidia
340,0.601005,1,nvidia
350,0.635898,1,nvidia
360,0.675035,1,nvidia
370,0.724196,1,nvidia
380,0.782158,1,nvidia
390,0.868126,1,nvidia
400,0.898789,1,nvidia
410,0.962598,1,nvidia
420,1.034855,1,nvidia
430,1.105114,1,nvidia
440,1.177976,1,nvidia
450,1.256962,1,nvidia
460,1.342499,1,nvidia
470,1.431111,1,nvidia
480,1.538830,1,nvidia
490,1.612576,1,nvidia
500,1.728858,1,nvidia
520,2.100533,1,nvidia
540,2.134991,1,nvidia
560,2.378077,1,nvidia
580,2.626871,1,nvidia
600,2.908820,1,nvidia
620,3.202871,1,nvidia
640,3.499848,1,nvidia
660,3.842696,1,nvidia
680,4.192714,1,nvidia
700,4.566542,1,nvidia
720,4.966566,1,nvidia
740,5.377368,1,nvidia
760,5.812231,1,nvidia
780,6.361547,1,nvidia
800,6.755850,1,nvidia
820,7.260326,1,nvidia
840,7.807069,1,nvidia
860,8.360192,1,nvidia
880,8.958349,1,nvidia
900,9.544886,1,nvidia
920,10.200839,1,nvidia
940,10.845165,1,nvidia
960,11.537094,1,nvidia
980,12.288631,1,nvidia
1000,13.042236,1,nvidia
1050,15.281491,1,nvidia
1100,17.439555,1,nvidia
1150,19.784718,1,nvidia
1200,22.604547,1,nvidia
1250,25.555608,1,nvidia
1300,28.681856,1,nvidia
1350,32.116662,1,nvidia
1400,35.552797,1,nvidia
1450,39.565189,1,nvidia
1500,43.695620,1,nvidia
1550,48.226751,1,nvidia
1600,52.950049,1,nvidia
1650,57.872941,1,nvidia
1700,63.350458,1,nvidia
1750,69.288466,1,nvidia
1800,74.979115,1,nvidia
1850,81.376359,1,nvidia
1900,88.026069,1,nvidia
1950,95.146351,1,nvidia
2000,102.506553,1,nvidia
2100,119.108183,1,nvidia
2200,137.948011,1,nvidia
2300,156.406941,1,nvidia
2400,177.934586,1,nvidia
2500,201.422816,1,nvidia
2600,226.486887,1,nvidia
2700,252.084147,1,nvidia
2800,281.651300,1,nvidia
2900,313.935595,1,nvidia
3000,345.045049,1,nvidia
3200,420.475748,1,nvidia
3400,503.504149,1,nvidia
3600,596.616466,1,nvidia
3800,700.560419,1,nvidia
4000,817.189912,1,nvidia
4200,948.841346,1,nvidia
4400,1089.482758,1,nvidia
4600,1244.866663,1,nvidia
4800,1410.525835,1,nvidia
5000,1594.379779,1,nvidia
20,0.001082,2,nvidia
30,0.003120,2,nvidia
40,0.005598,2,nvidia
50,0.008612,2,nvidia
60,0.012368,2,nvidia
70,0.016827,2,nvidia
80,0.021923,2,nvidia
90,0.027810,2,nvidia
100,0.034286,2,nvidia
110,0.041606,2,nvidia
120,0.049477,2,nvidia
130,0.058215,2,nvidia
140,0.067552,2,nvidia
150,0.077935,2,nvidia
160,0.089043,2,nvidia
170,0.100919,2,nvidia
180,0.113278,2,nvidia
190,0.126545,2,nvidia
200,0.140648,2,nvidia
210,0.156437,2,nvidia
220,0.172767,2,nvidia
230,0.189433,2,nvidia
240,0.206851,2,nvidia
250,0.224948,2,nvidia
260,0.247023,2,nvidia
270,0.267181,2,nvidia
280,0.290792,2,nvidia
290,0.313569,2,nvidia
300,0.338097,2,nvidia
310,0.365760,2,nvidia
320,0.392609,2,nvidia
330,0.435677,2,nvidia
340,0.468339,2,nvidia
350,0.504020,2,nvidia
360,0.534040,2,nvidia
370,0.571127,2,nvidia
380,0.608764,2,nvidia
390,0.661105,2,nvidia
400,0.709160,2,nvidia
410,0.765256,2,nvidia
420,0.825899,2,nvidia
430,0.861912,2,nvidia
440,0.913015,2,nvidia
450,0.970864,2,nvidia
460,1.042574,2,nvidia
470,1.116701,2,nvidia
480,1.184893,2,nvidia
490,1.251468,2,nvidia
500,1.323938,2,nvidia
520,1.540912,2,nvidia
540,1.659165,2,nvidia
560,1.829085,2,nvidia
580,2.013496,2,nvidia
600,2.219106,2,nvidia
620,2.418485,2,nvidia
640,2.620998,2,nvidia
660,2.852184,2,nvidia
680,3.088588,2,nvidia
700,3.355246,2,nvidia
720,3.768794,2,nvidia
740,4.213290,2,nvidia
760,4.675198,2,nvidia
780,5.203536,2,nvidia
800,5.626825,2,nvidia
820,6.118332,2,nvidia
840,6.666068,2,nvidia
860,7.241040,2,nvidia
880,7.835039,2,nvidia
900,8.386836,2,nvidia
920,9.035179,2,nvidia
940,9.700889,2,nvidia
960,10.343929,2,nvidia
980,11.163408,2,nvidia
1000,12.200311,2,nvidia
1050,11.609011,2,nvidia
1100,13.272037,2,nvidia
1150,14.971672,2,nvidia
1200,17.002563,2,nvidia
1250,18.964994,2,nvidia
1300,21.222438,2,nvidia
1350,23.315135,2,nvidia
1400,25.701083,2,nvidia
1450,30.076221,2,nvidia
1500,34.409458,2,nvidia
1550,39.281450,2,nvidia
