n,time
20,0.106002
30,0.149925
40,0.201833
50,0.253215
60,0.304280
70,0.350156
80,0.404588
90,0.450184
100,0.512081
110,0.588579
120,0.613400
130,0.655989
140,0.711760
150,0.753894
160,0.806409
170,0.871422
180,0.898738
190,0.953697
200,1.000633
210,1.088280
220,1.102105
230,1.156556
240,1.207545
250,1.258329
260,1.311089
270,1.353032
280,1.396577
290,1.452437
300,1.516976
310,1.550892
320,1.601653
330,1.680101
340,1.701015
350,1.774303
360,1.802951
370,1.857323
380,1.899394
390,1.954569
400,2.000310
410,2.047839
420,2.104137
430,2.158148
440,2.205272
450,2.310838
460,2.307082
470,2.347736
480,2.443651
490,2.459359
500,2.503501
520,2.606397
540,2.704648
560,2.844418
580,2.969227
600,3.041061
620,3.181342
640,3.224822
660,3.315741
680,3.424078
700,3.503772
720,3.617399
740,3.711877
760,3.821518
780,3.922439
800,4.024504
820,4.127774
840,4.230274
860,4.307899
880,4.473593
900,4.590500
920,4.664419
940,4.720941
960,4.813306
980,4.985337
1000,5.023281
1050,5.407287
1100,5.571733
1150,5.757609
1200,6.063392
1250,6.314902
1300,6.640883
1350,6.904376
1400,7.176370
1450,7.456109
1500,7.781788
1550,8.078971
1600,8.324696
1650,8.560677
1700,8.993629
1750,9.085742
1800,9.330995
1850,9.616529
1900,9.873689
1950,10.237335
2000,10.656183
2100,11.277415
2200,11.691094
2300,12.424913
2400,13.079750
2500,13.817796
2600,14.648002
2700,15.720440
2800,16.614754
2900,19.513438
3000,21.988981
3200,29.848547
3400,40.417450
3600,54.481628
3800,70.365649
4000,89.909629
4200,110.878194
4400,131.110548
4600,153.864559
4800,178.177950
5000,203.669911
