n,time,threads
20,0.033612,32
30,0.065835,32
40,0.037735,32
50,0.103725,32
60,0.108734,32
70,0.179570,32
80,0.135043,32
90,0.177077,32
100,0.213480,32
110,0.201314,32
120,0.233035,32
130,0.226999,32
140,0.152224,32
150,0.263926,32
160,0.322949,32
170,0.246003,32
180,0.223026,32
190,0.135608,32
200,0.082667,32
210,0.083791,32
220,0.096346,32
230,0.087688,32
240,0.072880,32
250,0.064808,32
260,0.070548,32
270,0.044855,32
280,0.065818,32
290,0.103014,32
300,0.089161,32
310,0.121797,32
320,0.606846,32
330,0.686347,32
340,0.720673,32
350,0.636747,32
360,0.305420,32
370,0.154233,32
380,0.171086,32
390,0.126200,32
400,0.071265,32
410,0.103799,32
420,0.102708,32
430,0.154184,32
440,0.258220,32
450,0.677949,32
460,0.878762,32
470,0.701813,32
480,0.463358,32
490,0.200901,32
500,0.121902,32
520,0.168128,32
540,0.338174,32
560,0.268896,32
580,0.926971,32
600,0.983646,32
620,0.816776,32
640,0.335912,32
660,0.343155,32
680,0.175563,32
700,0.810848,32
720,1.575925,32
740,0.692946,32
760,0.428278,32
780,0.264888,32
800,0.824605,32
820,1.183763,32
840,1.108751,32
860,0.428738,32
880,0.535722,32
900,1.506416,32
920,1.235471,32
940,0.500180,32
960,0.879559,32
980,1.789755,32
1000,1.080694,32
1050,0.577136,32
1100,1.891606,32
1150,1.686591,32
1200,1.871506,32
1250,1.996593,32
1300,2.087698,32
1350,2.472569,32
1400,2.758007,32
1450,2.577517,32
1500,2.559605,32
1550,2.831691,32
1600,3.160886,32
1650,3.547652,32
1700,2.091540,32
1750,3.620075,32
1800,3.769610,32
1850,3.439414,32
1900,4.204010,32
1950,4.221989,32
2000,5.423002,32
2100,4.682156,32
2200,4.822523,32
2300,6.400589,32
2400,7.615015,32
2500,9.166070,32
2600,9.790667,32
2700,13.757428,32
2800,15.275011,32
2900,13.673041,32
3000,19.434006,32
3200,24.328256,32
3400,31.148168,32
3600,49.397875,32
